"","player_api_id","player_name","noOfTeams","totalMatchPlayed","noOfLeagues","rating","sum_gk"
"1",505942,"Aaron Appindangoye",1,8,1,67,43
"2",155782,"Aaron Cresswell",1,75,1,74,121
"3",162549,"Aaron Doran",1,104,1,71,125
"4",30572,"Aaron Galindo",1,10,1,75,111
"5",23780,"Aaron Hughes",1,162,1,78,129
"6",27316,"Aaron Hunt",3,158,1,79,132
"7",564793,"Aaron Kuhl",1,5,1,61,64
"8",30895,"Aaron Lennon",2,181,1,84,146
"9",528212,"Aaron Lennox",1,1,1,48,237
"10",101042,"Aaron Meijers",3,167,1,69,54
"11",23889,"Aaron Mokoena",2,30,1,75,154
"12",231592,"Aaron Mooy",1,10,1,75,54
"13",163222,"Aaron Muirhead",1,21,1,63,38
"14",40719,"Aaron Niguez",2,27,2,71,129
"15",75489,"Aaron Ramsey",1,133,1,83,150
"16",597948,"Aaron Splaine",1,2,1,55,55
"17",161644,"Aaron Taylor-Sinclair",1,36,1,65,49
"18",23499,"Aaron Wilbraham",2,3,1,67,163
"19",120919,"Aatif Chahechouhe",1,1,1,77,50
"20",46447,"Abasse Ba",1,16,1,68,111
"21",167027,"Abdelaziz Barrada",2,75,2,76,47
"22",245653,"Abdelfettah Boukhriss",1,1,1,64,51
"23",128456,"Abdelhamid El Kaoutari",3,144,2,73,118
"24",42664,"Abdelkader Ghezzal",5,90,2,73,122
"25",425950,"Abdellah Zoubir",1,3,1,59,62
"26",38423,"Abdelmajid Oulmers",1,32,1,70,129
"27",3264,"Abdelmalek Cherrad",1,1,1,62,98
"28",467485,"Abdelmalek El Hasnaoui",1,5,1,63,52
"29",306735,"Abdelouahed Chakhsi",1,74,1,56,46
"30",41659,"Abderrazak Jadid",2,29,2,71,133
"31",31684,"Abdeslam Ouaddou",1,43,1,,
"32",32637,"Abdessalam Benjelloun",2,11,2,72,102
"33",563215,"Abdou Diallo",2,28,2,66,41
"34",41093,"Abdou Traore",2,59,1,71,128
"35",564712,"Abdoul Ba",1,4,1,64,60
"36",67334,"Abdoul Karim Yoda",2,54,2,72,127
"37",173955,"Abdoul Razzagui Camara",3,45,1,72,124
"38",39562,"Abdoulay Konko",3,137,2,79,138
