"","team_api_id","team_long_name","team_short_name","sum_build","sum_chance","sum_defence","noOfPlayers","totalGoals"
"1",9987,"KRC Genk","GEN",148,182,205,75,348
"2",9993,"Beerschot AC","BAC",110,185,210,72,174
"3",10000,"SV Zulte-Waregem","ZUL",147,153,200,87,306
"4",9994,"Sporting Lokeren","LOK",159,154,200,70,279
"5",9984,"KSV Cercle Brugge","CEB",145,200,195,64,213
"6",8635,"RSC Anderlecht","AND",149,182,190,76,427
"7",9991,"KAA Gent","GEN",142,184,166,88,390
"8",9998,"RAEC Mons","MON",160,168,138,46,129
"9",7947,"FCV Dender EH","DEN",,,,13,44
"10",9985,"Standard de Liège","STL",161,182,205,114,341
"11",8203,"KV Mechelen","MEC",134,150,190,70,285
"12",8342,"Club Brugge KV","CLB",139,170,200,90,421
"13",9999,"KSV Roeselare","ROS",125,125,205,26,62
"14",8571,"KV Kortrijk","KOR",129,159,185,81,267
"15",4049,"Tubize","TUB",,,,16,35
"16",9996,"Royal Excel Mouscron","MOU",150,150,140,13,42
"17",10001,"KVC Westerlo","WES",148,167,210,79,217
"18",9986,"Sporting Charleroi","CHA",160,148,210,91,201
"19",9997,"Sint-Truidense VV","STT",107,154,150,72,115
"20",9989,"Lierse SK","LIE",171,169,159,93,113
"21",6351,"KAS Eupen","EUP",105,160,155,25,28
"22",1773,"Oud-Heverlee Leuven","O-H",153,157,137,55,126
"23",8475,"Waasland-Beveren","WAA",132,140,114,76,105
"24",8573,"KV Oostende","OOS",155,140,133,37,102
"25",274581,"Royal Excel Mouscron","MOP",150,150,140,46,71
"26",10260,"Manchester United","MUN",134,200,163,69,582
"27",10261,"Newcastle United","NEW",152,195,161,78,324
"28",9825,"Arsenal","ARS",140,150,170,67,573
"29",8659,"West Bromwich Albion","WBA",145,195,210,80,305
"30",8472,"Sunderland","SUN",154,195,165,102,333
"31",8650,"Liverpool","LIV",171,180,172,89,531
"32",8654,"West Ham United","WHU",184,171,140,93,326
"33",8528,"Wigan Athletic","WIG",144,190,165,58,200
"34",10252,"Aston Villa","AVL",170,185,145,82,335
"35",8456,"Manchester City","MCI",130,210,180,76,606
"36",8668,"Everton","EVE",137,180,180,66,439
"37",8655,"Blackburn Rovers","BLB",185,185,160,54,175
"38",8549,"Middlesbrough","MID",144,190,147,24,28
"39",8586,"Tottenham Hotspur","TOT",133,210,181,74,481
